Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
451,Álex Sancris,es ESP,"MF,FW",Getafe,29-004,1997,14,5,629,7.0,0,1,1,0,0,0,3,1,0.00,0.14,0.14,0.00,0.14,Matches
452,Maroan Sannadi,ma MAR,FW,Athletic Club,24-355,2001,8,2,259,2.9,1,0,1,1,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches
453,Baptiste Santamaria,fr FRA,MF,Valencia,30-319,1995,16,7,729,8.1,1,1,2,1,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches
454,Yago Santiago,es ESP,MF,Elche,22-282,2003,6,2,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
455,Martin Satriano,uy URU,FW,Getafe,24-336,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
456,Nicolás Serrano,es ESP,MF,Athletic Club,22-323,2003,8,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
457,Kwasi Sibo,gh GHA,MF,Oviedo,27-212,1998,11,7,632,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
458,André Silva,pt POR,FW,Elche,30-077,1995,14,9,770,8.6,4,0,4,4,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
459,Giuliano Simeone,ar ARG,MF,Atlético Madrid,23-035,2002,19,16,1421,15.8,2,5,7,2,0,0,1,0,0.13,0.32,0.44,0.13,0.44,Matches
460,Unai Simón,es ESP,GK,Athletic Club,28-225,1997,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
461,Antonio Sivera,es ESP,GK,Alavés,29-164,1996,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
462,Alex Sola,es ESP,"DF,MF",Getafe,26-227,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
463,Carlos Soler,es ESP,MF,Real Sociedad,29-020,1997,17,11,1028,11.4,2,2,4,2,0,0,2,1,0.18,0.18,0.35,0.18,0.35,Matches
464,Jhon Solis,co COL,MF,Girona,21-111,2004,12,3,380,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
465,Manor Solomon,il ISR,MF,Villarreal,26-182,1999,6,1,150,1.7,1,1,2,1,0,0,0,0,0.60,0.60,1.20,0.60,1.20,Matches
466,Hugo Solozabal,es ESP,MF,Getafe,22-349,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
467,David Soria,es ESP,GK,Getafe,32-293,1993,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
468,Hugo Sotelo,es ESP,MF,Celta Vigo,22-034,2003,13,10,833,9.3,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
469,Djibril Sow,ch SUI,MF,Sevilla,28-350,1997,16,15,1158,12.9,2,0,2,2,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches
470,Carl Starfelt,se SWE,DF,Celta Vigo,30-235,1995,13,11,951,10.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
471,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,21-146,2004,4,1,116,1.3,1,0,1,1,0,0,0,0,0.78,0.00,0.78,0.78,0.78,Matches
472,Cristhian Stuani,uy URU,FW,Girona,39-102,1986,10,1,206,2.3,3,0,3,0,3,3,2,0,1.31,0.00,1.31,0.00,0.00,Matches
473,Denis Suárez,es ESP,MF,Alavés,32-016,1994,17,10,902,10.0,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
474,Gabriel Suazo,cl CHI,"DF,MF",Sevilla,28-166,1997,13,11,1013,11.3,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
475,Luka Sučić,hr CRO,MF,Real Sociedad,23-136,2002,7,2,235,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,21-355,2004,13,6,533,5.9,3,0,3,3,0,0,1,0,0.51,0.00,0.51,0.51,0.51,Matches
477,Wojciech Szczęsny,pl POL,GK,Barcelona,35-279,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
478,Alexander Sørloth,no NOR,FW,Atlético Madrid,30-048,1995,19,10,989,11.0,6,0,6,6,0,0,3,1,0.55,0.00,0.55,0.55,0.55,Matches
479,César Tárrega,es ESP,DF,Valencia,23-330,2002,19,18,1584,17.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
480,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,25-360,2000,18,17,1475,16.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
481,Nahuel Tenaglia,ar ARG,DF,Alavés,29-335,1996,19,19,1710,19.0,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
482,Arnau Tenas,es ESP,GK,Villarreal,24-237,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
483,Ramón Terrats,es ESP,MF,Espanyol,25-096,2000,13,3,322,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
484,Jeremy Toljan,de GER,DF,Levante,31-167,1994,19,19,1615,17.9,1,2,3,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,Matches
485,Pablo Torre,es ESP,MF,Mallorca,22-294,2003,18,7,681,7.6,0,2,2,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
486,Jofre Torrents,es ESP,DF,Barcelona,18-359,2007,3,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
487,Ferrán Torres,es ESP,FW,Barcelona,25-327,2000,19,15,1205,13.4,11,1,12,11,0,0,2,0,0.82,0.07,0.90,0.82,0.90,Matches
488,Lucas Torró,es ESP,MF,Osasuna,31-187,1994,19,19,1412,15.7,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
489,Óscar Trejo,ar ARG,"FW,MF",Rayo Vallecano,37-271,1988,5,0,57,0.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
490,Viktor Tsyhankov,ua UKR,MF,Girona,28-068,1997,14,13,1033,11.5,4,2,6,4,0,0,0,0,0.35,0.17,0.52,0.35,0.52,Matches
491,Kareem Tunde,es ESP,MF,Levante,20-156,2005,4,3,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
492,Beñat Turrientes,es ESP,MF,Real Sociedad,23-356,2002,11,6,473,5.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
493,Christantus Uche,ng NGA,FW,Getafe,22-248,2003,3,3,270,3.0,1,1,2,1,0,0,1,0,0.33,0.33,0.67,0.33,0.67,Matches
494,Filip Ugrinic,ch SUI,MF,Valencia,27-017,1999,10,4,443,4.9,0,3,3,0,0,0,2,0,0.00,0.61,0.61,0.00,0.61,Matches
495,Victor Valdepeñas,es ESP,DF,Real Madrid,19-094,2006,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
496,Óscar Valentín,es ESP,MF,Rayo Vallecano,31-155,1994,17,13,1134,12.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
497,Germán Valera,es ESP,"MF,FW",Elche,23-312,2002,19,17,1434,15.9,4,2,6,4,0,0,2,0,0.25,0.13,0.38,0.25,0.38,Matches
498,Martin Valjent,sk SVK,DF,Mallorca,30-042,1995,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
499,Álvaro Vallés,es ESP,GK,Real Betis,28-181,1997,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
500,Federico Valverde,uy URU,"MF,DF",Real Madrid,27-184,1998,19,17,1562,17.4,0,6,6,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
501,Vladyslav Vanat,ua UKR,FW,Girona,24-018,2002,17,17,1262,14.0,7,0,7,4,3,3,3,0,0.50,0.00,0.50,0.29,0.29,Matches
502,Ruben Vargas,ch SUI,MF,Sevilla,27-170,1998,13,11,871,9.7,3,4,7,2,1,1,1,0,0.31,0.41,0.72,0.21,0.62,Matches
503,José Luis García Vayá,es ESP,MF,Valencia,27-164,1998,18,16,1415,15.7,2,0,2,1,1,2,2,0,0.13,0.00,0.13,0.06,0.06,Matches
504,Jesus Vazquez,es ESP,"MF,DF",Valencia,23-020,2003,12,4,556,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
505,Renato Veiga,pt POR,DF,Villarreal,22-177,2003,16,13,1193,13.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
506,Unai Vencedor Paris,es ESP,MF,Levante,25-068,2000,13,11,760,8.4,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
507,Jozhua Vertrouwd,nl NED,DF,Rayo Vallecano,21-154,2004,5,1,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
508,Mikel Vesga,es ESP,MF,Athletic Club,32-246,1993,12,1,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
509,Carlos Vicente,es ESP,"MF,FW",Alavés,26-274,1999,20,10,1176,13.1,4,0,4,1,3,3,1,0,0.31,0.00,0.31,0.08,0.08,Matches
510,Nacho Vidal,es ESP,DF,Oviedo,30-363,1995,12,12,979,10.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
511,Federico Viñas,uy URU,"FW,MF",Oviedo,27-206,1998,16,11,1011,11.2,3,0,3,2,1,1,4,3,0.27,0.00,0.27,0.18,0.18,Matches
512,Jan Virgili,es ESP,MF,Mallorca,19-180,2006,15,12,1014,11.3,0,4,4,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches
513,Daniel Vivian,es ESP,DF,Athletic Club,26-191,1999,18,17,1558,17.3,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
514,Odysseas Vlachodimos,gr GRE,GK,Sevilla,31-271,1994,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
515,Iñaki Williams,gh GHA,"MF,FW",Athletic Club,31-221,1994,13,10,886,9.8,1,0,1,0,1,1,1,0,0.10,0.00,0.10,0.00,0.00,Matches
516,Nico Williams,es ESP,MF,Athletic Club,23-194,2002,16,13,1128,12.5,4,2,6,3,1,2,1,0,0.32,0.16,0.48,0.24,0.40,Matches
517,Axel Witsel,be BEL,MF,Girona,37-010,1989,15,15,1240,13.8,1,0,1,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,Matches
518,Lamine Yamal,es ESP,"MF,FW",Barcelona,18-193,2007,16,15,1349,15.0,7,8,15,5,2,2,0,0,0.47,0.53,1.00,0.33,0.87,Matches
519,Arsen Zakharyan,ru RUS,MF,Real Sociedad,22-241,2003,12,1,291,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Bryan Zaragoza,es ESP,"FW,MF",Celta Vigo,24-135,2001,18,12,1041,11.6,1,1,2,0,1,1,0,0,0.09,0.09,0.17,0.00,0.09,Matches
521,Igor Zubeldia,es ESP,DF,Real Sociedad,28-298,1997,15,15,1350,15.0,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches
