Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
328,Rafa Mir,es ESP,"FW,MF",Elche,28-218,1997,18,15,1308,14.5,6,0,6,6,0,1,1,0,0.41,0.00,0.41,0.41,0.41,Matches
329,Johan Mojica,co COL,DF,Mallorca,33-154,1992,20,16,1498,16.6,0,3,3,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
330,Alberto Moleiro,es ESP,"MF,FW",Villarreal,22-114,2003,19,16,1241,13.8,8,3,11,8,0,0,2,0,0.58,0.22,0.80,0.58,0.80,Matches
331,Nahuel Molina,ar ARG,DF,Atlético Madrid,27-291,1998,14,6,546,6.1,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
332,Jon Moncayola,es ESP,"MF,DF",Osasuna,27-254,1998,19,19,1637,18.2,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
333,Jorge Montes,es ESP,DF,Getafe,21-322,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
334,Diego Morcillo,es ESP,FW,Alavés,22-218,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
335,Álex Moreno,es ESP,"DF,MF",Girona,32-228,1993,19,18,1665,18.5,0,2,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
336,Gerard Moreno,es ESP,FW,Villarreal,33-290,1992,10,8,570,6.3,5,0,5,4,1,1,0,0,0.79,0.00,0.79,0.63,0.63,Matches
337,Matias Moreno,ar ARG,DF,Levante,22-120,2003,13,12,1035,11.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Mateu Morey,es ESP,DF,Mallorca,25-326,2000,12,7,536,6.0,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
339,Ilaix Moriba,gn GUI,MF,Celta Vigo,23-003,2003,20,14,1330,14.8,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
340,Manu Morlanes,es ESP,MF,Mallorca,27-010,1999,15,12,882,9.8,1,0,1,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10,Matches
341,Santiago Mouriño,uy URU,DF,Villarreal,23-343,2002,13,12,1100,12.2,0,1,1,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,Matches
342,Aihen Muñoz,es ESP,DF,Real Sociedad,28-159,1997,13,5,500,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
343,Iker Muñoz,es ESP,MF,Osasuna,23-078,2002,7,1,297,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
344,Javier Muñoz,es ESP,"MF,FW",Getafe,30-328,1995,11,4,454,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
345,Víctor Muñoz,es ESP,"MF,FW",Osasuna,22-193,2003,20,18,1481,16.5,3,1,4,3,0,0,2,0,0.18,0.06,0.24,0.18,0.24,Matches
346,Vedat Muriqi,xk KVX,FW,Mallorca,31-273,1994,19,18,1537,17.1,14,0,14,10,4,5,1,1,0.82,0.00,0.82,0.59,0.59,Matches
347,Juan Musso,ar ARG,GK,Atlético Madrid,31-261,1994,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
348,Natan,br BRA,DF,Real Betis,24-350,2001,19,19,1655,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
349,Pau Navarro,es ESP,DF,Villarreal,20-272,2005,8,8,642,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
350,Roberto Navarro,es ESP,MF,Athletic Club,23-285,2002,16,5,590,6.6,3,1,4,3,0,0,1,0,0.46,0.15,0.61,0.46,0.61,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Martim Neto,pt POR,MF,Elche,23-008,2003,16,10,915,10.2,2,4,6,2,0,0,1,0,0.20,0.39,0.59,0.20,0.59,Matches
352,Yvan Neyou,cm CMR,MF,Getafe,29-019,1997,5,0,67,0.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
353,Tanguy Nianzou,fr FRA,DF,Sevilla,23-229,2002,7,3,336,3.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
354,Randy Nteka,ao ANG,"FW,MF",Rayo Vallecano,28-047,1997,6,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Álvaro Núñez,es ESP,"DF,MF",Elche,25-199,2000,19,19,1647,18.3,0,2,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
356,Ørjan Nyland,no NOR,GK,Sevilla,35-134,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
357,Allan Nyom,cm CMR,DF,Getafe,37-257,1988,7,4,272,3.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
358,Jan Oblak,si SVN,GK,Atlético Madrid,33-015,1993,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
